OBJECTID,pc_id,s_u,st_code,st_name,pc_no,pc_name,pc_name_alias,status,State_LGD,SHAPE_Length,SHAPE_Area,Type,Phase,DOP,Poll_Day,DOA,DOIN,LDFN,DSN,LDWC,DOCV,Date_of_Poll
1,351,S,1,ANDAMAN & NICOBAR,1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,,35,5951775.55236574,8120248258.2846,,1ST PHASE,,Friday,16-3-2024(Saturday),20-3-2024(Wednesday),27-3-2024(Wednesday),28-3-2024(Thursday),30-3-2024(Saturday),4-6-2024(Tuesday),4/19/2024
5,281,S,1,ANDHRA PRADESH,1,Aruku,Araku (ST),,28,1942985.51589163,18297311428.9534,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
2,282,S,1,ANDHRA PRADESH,2,Srikakulam,Srikakulam,,28,636794.318333107,4238233893.79544,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
3,283,S,1,ANDHRA PRADESH,3,Vizianagaram,Vizianagaram,,28,577291.785999013,4327101693.39655,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
10,284,S,1,ANDHRA PRADESH,4,Visakhapatnam,Visakhapatnam,,28,365467.70858885,1505661610.4614,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
4,285,S,1,ANDHRA PRADESH,5,Anakapalli,Anakapalle,,28,594273.731017483,4674722026.18984,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
6,286,S,1,ANDHRA PRADESH,6,Kakinada,Kakinada,,28,521028.654885671,3064329220.95318,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
9,287,S,1,ANDHRA PRADESH,7,Amalapuram,Amalapuram (SC),,28,548621.874660219,3014738999.31935,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
7,288,S,1,ANDHRA PRADESH,8,Rajahmundry,Rajahmundry,,28,604324.613239457,3032900868.20798,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
8,289,S,1,ANDHRA PRADESH,9,Narsapuram,Narsapuram,,28,359025.265700757,2327075853.43495,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
11,2810,S,1,ANDHRA PRADESH,10,Eluru,Eluru,,28,917513.182972606,7013424513.80523,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
23,2811,S,1,ANDHRA PRADESH,11,Machilipatnam,Machilipatnam,,28,569213.224001138,4336810240.10734,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
24,2812,S,1,ANDHRA PRADESH,12,Vijayawada,Vijayawada,,28,502105.626873466,3407268308.03546,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
12,2813,S,1,ANDHRA PRADESH,13,Guntur,Guntur,,28,400226.911977298,2643197147.92628,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
13,2814,S,1,ANDHRA PRADESH,14,Narasaraopet,Narsaraopet,,28,701978.801341233,7975011539.01611,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
14,2815,S,1,ANDHRA PRADESH,15,Bapatla,Bapatla (SC),,28,677400.694762734,5220190926.22377,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
15,2816,S,1,ANDHRA PRADESH,16,Ongole,Ongole,,28,852871.53619687,14475067234.6182,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
16,2817,S,1,ANDHRA PRADESH,17,Nandyal,Nandyal,,28,844312.967797427,11268502901.4123,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
25,2818,S,1,ANDHRA PRADESH,18,Kurnool,Kurnoolu,,28,681751.59116408,7871301936.89547,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
17,2819,S,1,ANDHRA PRADESH,19,Anantapur,Ananthapur,,28,806189.568867268,10146352938.8757,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
21,2820,S,1,ANDHRA PRADESH,20,Hindupur,Hindupur,,28,1083137.70407004,10379302531.4212,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
22,2821,S,1,ANDHRA PRADESH,21,Kadapa,Kadapa,,28,769807.563778911,10373491856.1183,,4TH PHASE,,Monday,16-3-2024(Saturday),18-4-2024(Thursday),25-4-2024(Thursday),26-4-2024(Friday),29-4-2024(Monday),4-6-2024(Tuesday),5/13/2024
