s_u,st_code,pc_no,st_name,pc_name,timestamp,margin,result_status,leading_candidate,leading_party,trailing_candidate,trailing_party,source_url
S,1,1,ANDHRA PRADESH,Araku (ST),2024-06-04 13:47:13,36724,Result in Progress,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,KOTHAPALLI GEETHA,Bharatiya Janata Party,https://results.eci.gov.in/PcResultGenJune2024/statewiseS011.htm
S,1,1,ANDHRA PRADESH,Araku (ST),2024-06-04 13:52:56,37504,Result in Progress,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,KOTHAPALLI GEETHA,Bharatiya Janata Party,https://results.eci.gov.in/PcResultGenJune2024/statewiseS011.htm
S,1,1,ANDHRA PRADESH,Araku (ST),2024-06-04 14:02:45,37414,Result in Progress,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,KOTHAPALLI GEETHA,Bharatiya Janata Party,https://results.eci.gov.in/PcResultGenJune2024/statewiseS011.htm
S,1,1,ANDHRA PRADESH,Araku (ST),2024-06-04 14:30:38,43385,Result in Progress,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,KOTHAPALLI GEETHA,Bharatiya Janata Party,https://results.eci.gov.in/PcResultGenJune2024/statewiseS011.htm
S,1,1,ANDHRA PRADESH,Araku (ST),2024-06-04 14:36:36,44949,Result in Progress,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,KOTHAPALLI GEETHA,Bharatiya Janata Party,https://results.eci.gov.in/PcResultGenJune2024/statewiseS011.htm
S,1,1,ANDHRA PRADESH,Araku (ST),2024-06-04 14:49:53,49021,Result in Progress,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,KOTHAPALLI GEETHA,Bharatiya Janata Party,https://results.eci.gov.in/PcResultGenJune2024/statewiseS011.htm
S,1,1,ANDHRA PRADESH,Araku (ST),2024-06-04 15:02:36,44066,Result in Progress,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,KOTHAPALLI GEETHA,Bharatiya Janata Party,https://results.eci.gov.in/PcResultGenJune2024/statewiseS011.htm
S,1,1,ANDHRA PRADESH,Araku (ST),2024-06-04 15:33:19,45860,Result in Progress,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,KOTHAPALLI GEETHA,Bharatiya Janata Party,https://results.eci.gov.in/PcResultGenJune2024/statewiseS011.htm
S,1,1,ANDHRA PRADESH,Araku (ST),2024-06-04 15:50:46,52183,Result in Progress,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,KOTHAPALLI GEETHA,Bharatiya Janata Party,https://results.eci.gov.in/PcResultGenJune2024/statewiseS011.htm
S,1,1,ANDHRA PRADESH,Araku (ST),2024-06-04 16:15:45,53434,Result in Progress,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,KOTHAPALLI GEETHA,Bharatiya Janata Party,https://results.eci.gov.in/PcResultGenJune2024/statewiseS011.htm
